,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority,combined
19,PV,889190,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
20,renewable energy,889190,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
21,recycling,821087,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
22,waste management,887525,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
23,recycling,887525,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
24,soil management,818346,soil management,Agriculture,Resource saving,soil management,"Operations, practices and treatments used to protect soil and enhance its performance, such as leaving last season’s crop residue on the ground, planting cover crops, and controlling erosion.","“soil management”, “soil treatment”, “soil protection”, “management of soil”, “treatment of soil”, “protection of soil” ",http://www.b-t.energy/landscape/agriculture/soil-management-solutions-for-ghg-reduction-and-co2-storage/,0.0,Agriculture Resource saving
25,management of soil,818346,soil management,Agriculture,Resource saving,soil management,"Operations, practices and treatments used to protect soil and enhance its performance, such as leaving last season’s crop residue on the ground, planting cover crops, and controlling erosion.","“soil management”, “soil treatment”, “soil protection”, “management of soil”, “treatment of soil”, “protection of soil” ",http://www.b-t.energy/landscape/agriculture/soil-management-solutions-for-ghg-reduction-and-co2-storage/,0.0,Agriculture Resource saving
26,renewable energy,825999,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
27,waste management,847641,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
28,biorefinery,792054,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
29,energy storage,812398,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
30,energy storage,771294,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
31,wave energy,787344,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0,Energy Hydro energy sources
32,fuel cell,779469,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
33,energy storage,779469,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
34,waste management,754586,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
35,traffic management,723384,traffic management,Transport,Transport System innovation,traffic management,"Technology of ensuring smooth and efficient road traffic flow, fair access for different transport modes, safety of roads and streets for all users, minimisation of congestion, local pollution and noise, reduced greenhouse gas emissions, and other traffic management measures.","“traffic management”, “management of traffic”",https://www.ctc-n.org/technologies/traffic-management,1.0,Transport System innovation
36,offshore wind,745625,offshore wind,Energy,Wind,offshore wind,"Technology of converting the kinetic energy of the wind into electrical power, achieved with wind turbines. Offshore wind parks are placed in the sea or ocean.",“offshore wind”,https://www.ctc-n.org/technologies/offshore-wind,1.0,Energy Wind
37,fuel cell,735582,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
38,waste management,723670,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
39,biofuel,848757,biofuel,Transport,Transport Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0,Transport Fuel
40,renewable energy,848757,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
41,recycling,848757,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
42,district heating,723562,district heating and/or cooling,Human settlements,Energy management,district heating and/or cooling,Pipe network that supplies heating/cooling and hot/cold water for connected consumers from a central power plant.,"“district heating”, “district cooling”",https://www.ctc-n.org/technologies/district-heating-and-cooling,1.0,Human settlements Energy management
43,recycling,731761,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
44,photovoltaic,721452,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
45,PV,721452,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
46,power-to-heat,731231,power-to-X,Energy,Energy System innovation,power-to-X,"Here also, “power-to-ammonia”, “power-to-chemicals”, “power-to-fuel”, “power-to-hydrogen”, “power-to-gas”, “power-to-heat”, “power-to-liquid”, “power-to-methane”, “power-to-mobility”, “power-to-food”, “power-to-power”, and “power-to-syngas”; electricity conversion and storage technology of using the surplus of electric power to provide electrification in industry.","“power-to-ammonia”, “power-to-chemicals”, “power-to-fuel”, “power-to-hydrogen”, “power-to-gas”, “power-to-heat”, “power-to-liquid”, “power-to-methane”, “power-to-mobility”, “power-to-food”, “power-to-power”, and “power-to-syngas”",European Decarbonisation Pathways Initiative,1.0,Energy System innovation
47,electric vehicle,727362,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0,Transport Vehicle design
48,PV,727362,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
49,CSP,727362,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0,Energy Solar energy sources
50,combined cycle,727362,combined cycle power plant,Energy,Energy System innovation,combined cycle power plant,"In power plants, technology of fuel-switching, or the replacement of fossil fuels with low-carbon fuels (e.g. replacing coal with natural gas).",“combined cycle”,https://www.ctc-n.org/technologies/natural-gas-combined-cycle-plants,1.0,Energy System innovation
51,predictive analytics,732463,automation,Industry,Manufacturing innovation,automation,"Also, “robotics”, “AI”, “data analytics”, “sensoring”, “use of ICT”; application of automation and digital technologies in industry processes.","“robotics manufacturing”, “AI manufacturing”,“artificial intelligence in manufacturing“,“predictive analytics”, “sensoring in manufacturing”, “information technology automation”",European Decarbonisation Pathways Initiative,1.0,Industry Manufacturing innovation
52,renewable energy,730030,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
53,biopolymer,723425,biopolymer,Industry,Use of innovative materials,biopolymer,Technology of replacing fossil-based polymers with renewable biomass-based biopolymers.,biopolymer,https://www.ctc-n.org/technologies/biopolymer-production-petro-chemical-sector,1.0,Industry Use of innovative materials
54,renewable energy,734137,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
55,biorefinery,720708,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
56,energy storage,731148,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
57,smart grid,731148,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
58,renewable energy,731148,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
59,agroforestry,727872,agroforestry,Agriculture,Forest protection,agroforestry,"Also, “agro-sylviculture”; technology of managing land use when trees or shrubs are grown around or among crops or pastureland.","agroforestry, sylviculture, “agro-sylviculture”, agrosylviculture",https://www.ctc-n.org/technologies/agroforestry,1.0,Agriculture Forest protection
60,waste management,723268,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
61,renewable energy,715132,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
62,biorefinery,727874,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
63,CHP,691232,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0,Buildings Interior appliance design
64,combined heat and power,691232,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0,Buildings Interior appliance design
65,predictive analytics,687691,automation,Industry,Manufacturing innovation,automation,"Also, “robotics”, “AI”, “data analytics”, “sensoring”, “use of ICT”; application of automation and digital technologies in industry processes.","“robotics manufacturing”, “AI manufacturing”,“artificial intelligence in manufacturing“,“predictive analytics”, “sensoring in manufacturing”, “information technology automation”",European Decarbonisation Pathways Initiative,1.0,Industry Manufacturing innovation
66,concentrated solar power,686008,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0,Energy Solar energy sources
67,renewable energy,695944,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
68,CHP,671396,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0,Buildings Interior appliance design
69,fuel cell,671396,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
70,combined heat and power,671396,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0,Buildings Interior appliance design
71,nanomaterial,648779,nanomaterial,Industry,Use of innovative materials,nanomaterial,"Technology of improving the strength of existing materials with nanomaterials. Possible uses include solar panels, batteries, sorbents, insulation, etc.",nanomaterial,https://www.ctc-n.org/products/environmentally-friendly-manufacturing-nano-micro-and-sub-micro-fibers-hybrid-cab-system,1.0,Industry Use of innovative materials
72,recycling,680507,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
73,photovoltaic,662189,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
74,renewable energy,662189,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
75,recycling,654650,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
76,renewable energy,675318,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
77,fuel cell,686585,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
78,recycling,686585,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
79,inert anode,654216,inert anode,Industry,Energy use innovation,inert anode,Technology of introducing inert anode in aluminium smelters.,“inert anode”,https://www.ctc-n.org/technologies/inert-anode-technology-aluminium-smelters,1.0,Industry Energy use innovation
80,fuel cell,654216,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
81,fuel cell,778307,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel. Here does not include fuels created through power-to-X processes.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
