,rcn,id,acronym,status,programme,topics,frameworkProgramme,title,startDate,endDate,projectUrl,objective,totalCost,ecMaxContribution,call,fundingScheme,coordinator,coordinatorCountry,participants,participantCountries,subjects
6782,218648,829384,DroneGrid,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Simplifying Aerial Intelligence,2018-09-01,2020-08-31,https://www.sitemark.com/company/smei-h2020-simplifying-aerial-intelligence/,"The drone industry faces several key challenges that prevent fast adoption of drone technology by mainstream enterprises. Amongst the main challenges are: complex drone regulations, high upfront cost and inadequate drone experience. In general, there is a real need for an end-to-end solution that would enable transforming data collected by drones into actionable aerial intelligence data.
DroneGrid is an enterprise platform that enables 2D and 3D aerial inspections of assets using drones, including automated analysis of actionable data. Without needing their own drone fleet, our customers can easily access commercial drone technologies through DroneGrid to gather aerial intelligence and to easily integrate them into their existing processes. We take care of subcontracting the best drone operators for our clients. This enables enterprises to take better decisions, improve staff safety, increase asset efficiency and digitise their field information. 
DroneGrid consists of an industrial customer app/web platform, backend AI engine and an API layer that integrates with commercial drone software, various third-party services such as weather, regulatory, operational services and enterprise ERPs. On the other side, the platform can be used by certified and pre-approved drone pilots to perform missions on ordered customer operations. 
DroneGrid is already available in a functional commercial version in several markets: renewable energy (solar inspections), construction and mining. In order to enter additional industries, we need to improve 3D capabilities (vertical) as well as enhance its intelligence abilities. 
DroneGrid was established in August 2016 and is a pioneer developer of a smart cloud-based drone solution. DroneGrid has achieved significant growth and now has an international customer base and operations in 22 countries. In 2018, DroneGrid has already secured a €1 million cash investment from Chroma Impact investment fund.",2595063.75,1816544.63,H2020-SMEInst-2018-2020-2,SME-2,DRONEGRID,BE,,,
6799,219029,830036,Wavepiston,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Competitive Wave Energy on Islands,2018-12-01,2021-07-31,http://www.wavepiston.dk,"Wavepiston is developed on the shoulders of the first-generation wave energy technologies. Due to its low weight, low-tech design, simple installation and operations & maintenance, Wavepiston will be the disruptive technology that can make wave energy competitive with the other renewable energy sources.

Our prototype test and Phase 1 feasibility study have confirmed this potential. The Wavepiston system is easy to assemble on site by local staff and can be deployed from a regular tug boat, just like operations and maintenance can be carried out without expensive specialists.

In the Phase 2 project we will install a full-scale Wavepiston demonstration system to demonstrate the energy potential, durability and survivability ensuring a low cost per kWh.

In the first step our customer focus is islands and isolated coastal communities. We already have the first 4 commercial customers in the pipeline; Isola Piana at Sardinia, Ebeye at Marshall Islands, Siargao at the Philippines and the Alidhoo J-resort at the Maldives. During Phase 2 we will prepare the first commercial projects together with professional energy project developers. This will enable us to start the commercialisation right after the finalisation of Phase 2.

The Wavepiston technology is protected by several patents.

The Phase 2 project plan has 6 work packages; WP1 Management, WP2 Preparation for the full scale demonstration, WP3 Manufacturing demonstration system and site installation, WP4 Demonstration and qualification, WP5 Business plan, commercial exploitation and dissemination WP6 NEC Requirements",3844948.75,2499999.0,H2020-SMEInst-2018-2020-2,SME-2,WAVEPISTON AS,DK,,,
6825,219005,825998,SecRHC-ETIP,SIGNED,H2020-EU.3.3.,LC-SC3-CC-4-2018,H2020,Secretariat of the European Technology and Innovation Platform on Renewable Heating and Cooling,2018-12-01,2021-11-30,,"This proposal aims at supporting the work which has been carried out by the secretariat of the European Technology and Innovation Platform on Renewable Heating and Cooling since 2011. The role of the secretariat is to assist the stakeholders of the RHC-ETIP in coordinating activities related to the definition and implementation of an innovation strategy to increase the use of renewable energy sources for heating and cooling, and to foster the growth and the market uptake of the relevant industries. The secretariat provides support to the structure of the RHC-ETIP, by organising meetings, events, and relevant consultations, and by assisting with the preparation of relevant documents (both of technical and of political nature) to raise the profile and importance of the renewable heating and cooling sector, and its related technologies. This proposal also addresses the need to enlarge the membership of the RHC-ETIP by involving more closely national policy makers, as well as other relevant stakeholders (related industries, and socio-economic experts) in its work. By supporting interactions between several stakeholders representing industry, research and academia, from different renewable heating and cooling technologies, and by gradually including complementary sectors and expertise, the SecRHC-ETIP will assist the RHC sector in strengthening its growth and competitiveness both vis-à-vis traditional heating and cooling technologies, as well as with respect to competitors coming from non-EU countries.",984200.0,984200.0,H2020-LC-SC3-2018-Joint-Actions-3,CSA,BIOENERGY EUROPE,BE,EUREC EESV;SOLAR HEAT EUROPE/EUROPEAN SOLAR THERMAL INDUSTRY FEDERATION;EUROPEAN GEOTHERMAL ENERGY COUNCIL;EUROHEAT & POWER;EUROPEAN HEAT PUMP ASSOCIATION,BE,
6833,221406,836317,LEAN MOBILE MAPPING,CLOSED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,EUROPES FIRST SCALABLE MOBILE MAPPING SOLUTION WHICH EMPOWERS ALL BUSINESSES AND INSTITUTIONS TO ACCESS ESSENTIAL GEO-SPATIAL DATA,2018-12-01,2019-03-31,,"Over €2.4tn in revenues are lost annually due to poor data quality with 85% of all business data either being obsolete or of unknown value. 80% of all data owned by businesses and institutions is in the form of images or videos which are notoriously more difficult to analyze than simple text. All data needs to be updated within 1-24 months to remain useful but due to the high processing costs, businesses are unable to keep their data relevant. Current solutions to this problem are either offering (1) costly cameras and require the customer to process data manually or (2) a full-service which does all processing and data collection at a high service cost. We have realized that the key to providing a sustainable, low-cost and high-quality solution requires automation of the labour-intensive processing work. With LEAN MOBILE MAPPING, we provide Artificial Intelligence powered object recognition in combination with a small and high-performance camera system that can be placed on any vehicle, boat, train or other moving platform to perform location-based asset management. We developed our software and hardware prototype in over 3 years of close work with customers and by the end of 2017, we have completed 6 extensive pilot studies and received multiple LOI. LEAN MOBILE MAPPING will penetrate the €18.8bn mobile mapping market in the EU with €6.6m in accumulated profits in the first 3 years, an ROI of 6.35 and the creation of 8 jobs. We will not only bring Europe to the forefront of the fast growing mobile making market but can also reduce gasoline consumptions in agriculture by 3.5bn litres per year (saving €16.9bn and reducing emissions), enable cities to have barrier free access for the disabled, facilitate renewable energy installations, reduce European outsourcing to low economic areas and address social challenges through our extensive work in undeveloped countries such as Kenya.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,GECKOMATICS,BE,,,
6842,220190,836543,MataDOR,CLOSED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Medium Density Fibreboard Recovery,2019-01-01,2019-06-30,http://www.mdfrecovery.co.uk/matador/,"Challenge and solution: MDF - medium density fibreboard is a wood-based panel product produced from virgin wood, either logs or wood chips. The virgin wood is refined into fibres that are blended with resin and wax, dried, then formed into a mat that is consolidated and cured under pressure and heat. Over the years, MDF has evolved into a highly sophisticated product designed to meet specific end-use requirements. Around 45% of MDF is used in furniture, 32% used in laminate flooring with the remaining 23% used in construction, mouldings, panelling etc.. There is 19.5M tons of MDF produced in Europe every year1 and an estimated 2.73M2 tons wasted within the supply chain. 
The Challenge: With almost 20M tons of MDF being produced every year in the EU (70M tons globally), it is unacceptable that none of this material is recycled. There is a clear and obvious need for a technology based solution to this problem. The challenge for MDF Recovery is to validate and commercialise its own technology to ensure that MDF recycling is considered ‘normal’ in future and that the opportunity to be first to market is taken.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,MDF RECOVERY LIMITED,UK,,,
6857,220618,838702,GuidedNW-PV,SIGNED,H2020-EU.1.1.,ERC-2018-PoC,H2020,High-Voltage Micro-Photovoltaic Cells and Photodetectors Based on Guided Nanowires for On-Chip Powering of Autonomous Microsystems,2019-02-01,2020-07-31,,"The Internet of Things (IoT) relies on billions of autonomous miniaturized sensor nodes deployed over the environment, homes, offices, and our own clothes and bodies. Powering these sensors creates a huge and urgent demand for smaller devices capable of harvesting energy from the environment and supplying the required power characteristics. Photovoltaic (PV) cells are attractive sources of renewable energy in illuminated environments, but their output voltage is limited to a few volts, whereas MEMS sensors often require higher voltages to operate. Such voltages can only be achieved by connecting several PV cells in series, or using large converters, two solutions that are prohibitive in terms of size and weight. Core-shell semiconductor nanowires (NWs) are ideal structures for efficient miniaturized PV cells, but lack of control in their assembly has prevented their integration in series.

Using the guided growth approach developed in our ERC Advanced project, we have succeeded to produce highly ordered planar arrays of NWs with exquisite structural control, which enabled us to create efficient PV cells and integrate them in series to multiply their open-circuit voltage to virtually any desired value. This power supply is expected to outperform all existing miniature power sources for the IoT by orders of magnitude. The aim of this PoC is to develop a prototype of a CMOS/MEMS-compatible high-voltage micro-PV cell based on series-connected core-shell NW arrays, and demonstrate its on-chip integration with a working microsystem.

This demonstration will set the path to commercialization for various applications, including but not limited to IoT. A strong added value is expected for microelectronics manufacturers, who can integrate PV cells together with MEMS sensors on the same chip, thus gaining size advantage. We will prepare a commercialization strategy and carry out IPR considerations in order to obtain strong IP position in this immensely growing market.",150000.0,150000.0,ERC-2018-PoC,ERC-POC,WEIZMANN INSTITUTE OF SCIENCE,IL,,,
6858,219959,837135,CCR,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Rotative Cylinder Compressor for energy efficient industrial compression process,2019-01-01,2019-06-30,http://www.abc-compressors.com,"Gas compression with piston reciprocating compressors dates from 19th century and it is widely used today for a vast range of industrial applications. The process of compression is energetically inefficient as just ten percent of the energy consumed becomes mechanical energy as compressed gas, being the rest of the energy wasted in heating the gas, energy that must be dissipated incurring an additional energy expenditure.
ABC COMPRESSORS has developed the Rotating Cylinder Compressor (CCR – Compresor Cilindros Rotativos) which adopts a disruptive concept of piston compression based in centrifugal forces. This new compressor concept enables to reduce up to 20% the energetic consumption of compressors eliminating the need of water cooling and reducing considerably the dimension (and constructive cost) of the compressor.  
Oil and Gas market is outlined as principal market for this project due to the big size of the market (around 50% of global compressors), growing trends, and market pressure for reduce energy consumption. More than 10.000 compressors are sold nowadays, and it is expected to have a steadily growth due to natural gas plants proliferation and old compressors replacing market in Europe and US. 
Taking into account existing needs, potential market, ABC COMPRESSORS` strength and knowledge in high pressure compressors and industrial markets and the possession of patented superior technology (reduction of energy consumption, reduction of price and simplicity), a clear business opportunity for ABC COMPRESSORS is outlined. 
In this Phase 1 project, a feasibility study will be held to analyse the viability of the whole project, analysing market, product, business and financial features in order to guarantee the profitability of the investment in the identified markets and future scenarios.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,"ARIZAGA, BASTARRICA Y COMPANIA SA",ES,,,
6871,219213,824410,GIFT,SIGNED,H2020-EU.3.3.4.,LC-SC3-ES-4-2018-2020,H2020,Geographical Islands FlexibiliTy,2019-01-01,2022-12-31,,"GIFT is an innovative project that aims to decarbonise the energy mix of European islands. European islands have to abide by the law of their countries that push toward a greener energy mix to comply with the European and international agreements. GIFT is willing to develop innovative systems to allow islands to integrate vast amount of renewables. In order to reach that goal, the coordinator INEA has built a well-balanced consortium gathering a total of 17 partners of 7 countries, including 1 industrial partner, 9 SMEs, two municipalities, 3 research centres and 2 universities. Through the development of multiple innovative solutions, such as a virtual power system, energy management systems for harbours, factories, homes, better prediction of supply and demand and visualisation of those date through a GIS platform, and innovative storage systems allowing synergy between electrical, heating and transportation networks, GIFT will increase the penetration rate of renewable energy sources into the islands’ grid, reducing their needs for diesel generation and thus decreasing the greenhouse gases emissions directly related to it. During 4 years, the partners will develop and demonstrate the solutions in two lighthouse islands, in Hinnøya, Norway’s largest island and the small island of Procida in Italy and study the replicability of the solution in a Greek and Italian islands at the minimum, respectively Evia and Favignana. The complementarity of these islands in terms of climate, energy mix, population and activities is meant to have solutions adaptable to different situations. To even increase this, the GIFT project has started to build a replication board with associations that already gather 1640 European islands that will be able to study replication for their territories. The consortium aims to provide sustainable solutions with a strong market uptake and plans to widely disseminate their solutions and replicate it on all relevant islands in the EU and beyond.",12151534.5,9555708.02,H2020-LC-SC3-2018-ES-SCC,IA,INEA INFORMATIZACIJA ENERGETIKA AVTOMATIZACIJA DOO,SI,ETREL SVETOVANJE IN DRUGE STORITVE DOO;Odit-e;SYLFEN;CENTRO DE INVESTIGACAO EM ENERGIA REN - STATE GRID SA;CENTRE FOR RENEWABLE ENERGY SOURCES AND SAVING FONDATION;INTRACOM SA TELECOM SOLUTIONS;HAFENSTROM AS;HALOGALAND KRAFT NETT AS;ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS;HARSTAD KOMMUNE;ELESTOR BV;TRIALOG;COMUNE DI PROCIDA;EUROQUALITY SARL;NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU;UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,SI;FR;PT;EL;NO;NL;IT,
6882,219876,836514,Hydrogreen,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Towards local circular economy: biomass-based pyrogasification process for the production of green hydrogen,2018-11-01,2019-02-28,http://tairagri.com/,"Hydrogen is meant to be one of the most important renewable energy sources of the future since it is a flexible energy carrier that will facilitate significant reductions in energy-related CO2 emissions, what would favour to meet requirements of EU energy policies and fight against climate change. However, it is necessary to overcome infrastructure challenges and high productive cost to achieve a competitive alternative to other renewable energies. 

T’AIR ENERGIES is a French SME which aims at bringing to market an innovative energetic model where the local biomass and waste are valorised to produce and distribute green hydrogen for mobility (fuel cell electric cars), energy (electricity/gas) and industrial applications. 
Our innovative solution, called Hydrogreen, is a pyrogasification-based process where biomass (wood, wood waste, straw) is converted, with optimum efficiency, into energetic hydrogen and decarbonated CO2. Our methodology proposes an integral process based on the valorisation of locally available material and agricultural surpluses through a decentralized process that guarantees huge savings in terms of logistical costs (-66%) for the system's inputs. In addition, thanks to the optimization of the resources used and the introduction of waste/products at the end of their life in the productive cycle, it is fully aligned with the principles of the circular economy. Finally, the distribution of H2, in which the traditional service stations are complemented with a personalized system where our logistics partners directly transport the fuel to the end users, solves a key mobility bottleneck, further boosting the growth of the number of vehicles based on clean hydrogen energy. 

As Hydrogreen will enable us to offer green hydrogen to local actors at a competitive price below €7/kg, we expect, after 5 years of exploitation to reach €25 million revenues, with 4 industrial sites commissioned and \88 new employees.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,T'AIR ENERGIES GROUP,FR,,,
6890,221336,850151,Solar QUEST,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,QUalitative Electricity STorage for Solar energy,2019-04-01,2021-03-31,,"Lancey Energy Storage is pioneering a new era for energy storage, in which home appliances can contribute to the energy transition by storing electricity and engaging citizens. 
To fight global warming, renewable energy (RE) production is soaring, which is good news but has direct consequences on network management due to the intermittency of solar and wind power. Distributed storage can help better regulating the power grid and integrating more RE through self consumption and grid services. But few can afford it. Lancey aims at democratizing it by embarking a battery into a space heater. In France alone, 1/3 of real estate is electrically heated. Yet 1st generation electric heaters consume a lot of electricity and are highly responsible for the evening winter power peaks. Lancey has the solution to both of these issues. With its efficient heating technologies and energy management system, Lancey heater fine tunes to users’ needs while its battery charges off peak or with renewable energy surplus and discharges to prevent it from consuming power during peak hours. Total heating bill reduction can reach up to 50%. In 1,5 year of existence, Lancey has put on the market an innovative patented product rewarded by a CES Best innovation award. Yet this first version of the Lancey heater is still limited as its battery can only be used to power the heater. 
Solar QUEST’s purpose is to develop the V2 of Lancey heater, able to reinject power stored in the battery into buildings’ grid to power other devices. It will unlock Lancey’s participation to grid services and make it possible to maximise PV installations’ self consumption rate in summer too. With its Danish partner Tomorrow, Lancey will showcase the CO2 emissions its offsets, better engage users on energy transition and integrate self-consumption and grid services parameters into Lancey’s management algorithms. Lancey will perform pilot demonstrations of this new product in France, Canada and Finland with key partners.",2180000.0,1526000.0,H2020-SMEInst-2018-2020-2,SME-2,LANCEY ENERGY STORAGE,FR,TMROW ApS,DK,
6892,221414,837139,Diacosm,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Nano Diamond Powder Additive for Cosmetics,2018-12-01,2019-05-31,https://www.appsilonscientific.com/,"Appsilon Diamond Works proposes a new and innovative material for the cosmetics industry, the Nano Diamond powder “DiaCosm”, with surface modified Nano Diamond particles in order to provide greater
anti-aging effects, deeper penetration, healthier experience and added value.
As the current generation target the premium and effective products in the ever growing cosmetics market, a product that is
able to provide excellence and effectiveness at the same time is needed. This is where the diamond shines.
Appsilon excels in lab-grown diamond synthesis and infused its profession into cosmetics additives, thus created DiaCosm.
DiaCosm nano diamond powder additive will provide penetration via high surface energy and low particle sizes, thanks to
our novel methods of surface modification, pre and post treatments.
But our nano diamond powder is purified of heavy metals and other impurities unlike standart powders in the market,
therefore will provide a healthy experience. Once purified, diamond is inherently biocompatible. Our nano diamond is treated
to have nano size particle sizes, to be able to penetrate the skin, the first requirement of cosmetic additives in term of
performance. It is also surface modified to alter the surface energy, to carry and transport the actives in the cosmetics, to
provide a better performance. Our production also involves recycling jewelry cuts from rough diamond we produce, therefore
our raw material supply line is in the company and completely environmental.
There are already a few diamond powder users in the cosmetics market, but there are certain problems with those. Appsilon
identified the market, the customer, the bussiness model, developed a product that satisfies the need of the bussiness and
therefore proposes the DiaCosm to the European Community.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,APPSILON ILERI MALZEMELER DANISMANLIK SANAYI VE TICARET ANONIM SIRKETI,TR,,,
6910,221159,856066,Sodium_Ion_Batteries,CLOSED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,"Safe, fast-charging long-life Sodium-ion batteries for vehicles and power storage",2018-12-01,2019-02-28,http://www.tiamat-energy.com,"Existing battery technologies face a number of serious issues that decades of research have not resolved – charging speed, lifespan, safety, supply chain pressures and environmental impact. 
Tiamat has developed a fast-charging, powerful, long-life sodium-ion (Na-ion) battery that is price-competitive with its lithium and lead acid equivalents.
Its batteries can transform the fast-charging market, replacing outdated technology in electric bikes, scooters, forklift trucks, industrial robots, power tools and buses as well as power storage and supply for home and grid.
Tiamat’s initial target market – which does not include mobile phones, laptops and tablets – was some 7 billion euros as of 2017 and is forecast to grow to at least 20 billion euros by 2025.
The company is the only start-up looking to commercialise a full Na-ion based product that can compete with Lithium-ion batteries in the same energy density category.
Its batteries directly challenge the decades-old, and arguably archaic lead-acid battery technology that is the automotive standard. 
Tiamat’s technology can be stored at zero Volts, making its products safe and easy to store, handle and transport. No copper, nickel or cobalt are used in the batteries – avoiding humanitarian and environmental issues associated with mining those elements.
We are partnering with cell integrators, major battery manufacturers and automotive companies to validate and test our batteries in a wide range of applications.
Tiamat has access to one of the most advanced battery research facilities in Europe and some of the world’s most accomplished energy storage scientists.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,TIAMAT,FR,,,
6915,219123,825453,Caladan,SIGNED,H2020-EU.2.1.1.,ICT-04-2018,H2020,Micro assembled Terabit/s capable optical transceivers  for Datacom applications,2019-01-01,2022-12-31,,"Data centers which underpin the Cloud are under pressure. As the capacity of data center servers is growing, so must the capacity of the links between those servers. Industry foresees a need for high volumes of 800Gb/s and 1.6Tb/s transceivers by 2025. 
Today, despite the use of complex Photonic Integrated Circuits (PICs), manufacturing an optical transceiver still requires a large number of sequential steps. This is because lasers and electronic chips need to be assembled on a piece-by-piece basis onto the PIC. The resulting optical engine then needs to be coupled to a fiber array and packaged. These steps are done sequentially, creating a bottleneck in the manufacturing line which makes it hard to scale up production and reduce cost. 
CALADAN will demonstrate how integration of lasers and electronics onto a PIC can be done fully at the wafer-level using the established micro transfer printing technique, thus eliminating this bottleneck. GaAs quantum dot lasers and 130nm SiGe BiCMOS 56Gbaud capable driver and receiver electronics will be transfer printed onto Silicon Photonic 300mm wafers. Starting from proven concepts in PIXAPP, a novel fast fiber attachment process will be demonstrated that reduces the time required for fiber attachment by an order of magnitude. Using these techniques, transceiver cost will be 0.1Euro/Gb/s for volumes of at least 1,000,000 units.
The consortium, which consists of three SMEs (X-Celeprint, Innolume and ficonTEC), an LE (EVGroup), three research institutes (IMEC, Tyndall and IHP), a transceiver manufacturer (Mellanox) and a multinational (Xilinx) encompasses all the partners to start production of the targeted optical transceivers after the end of the project. Exploitation of the technology will be supported by an end-user (British Telecom), a semiconductor foundry setting up a micro transfer printing Pilot Line (MICROPRINCE, X-FAB), an optical equipment manufacturer (ADVA) and the European Photonic Industry Consortium (EPIC).",6624737.5,5846728.75,H2020-ICT-2018-2,IA,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,BE,"IHP GMBH - INNOVATIONS FOR HIGH PERFORMANCE MICROELECTRONICS/LEIBNIZ-INSTITUT FUER INNOVATIVE MIKROELEKTRONIK;EV GROUP E. THALLNER GMBH;X-CELEPRINT LIMITED;INNOLUME GMBH;MELLANOX TECHNOLOGIES LTD - MLNX;XILINX IRELAND UNLIMITED COMPANY;FICONTEC SERVICE GMBH;UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK",DE;AT;IE;IL,
6929,220939,823805,MAIL,SIGNED,H2020-EU.1.3.3.,MSCA-RISE-2018,H2020,Identifying Marginal Lands in Europe and strengthening their contribution potentialities in a CO2sequestration strategy,2019-01-01,2021-12-31,,"Marginal Lands (MLs) could offer suitable carbon sinks by afforestation/reforestation projects without being competitive to food production, conforming to EU/Global policies. The main objective of MAIL is to trigger utilization of MLs as Carbon Sinks by activities related to forestry and agriculture. The project aims to detect and classify mountainous and semimountainous Marginal Lands (m/sm MLs), in order to deliver a web-based regional platform with data, methodology and applications which will be valuable for policy makers, stakeholders or researchers.
MAIL will assess MLs’ presence, distribution and suitability in smart and efficient way, considering that marginality differs within European bioclimatic zones. It will detect MLs through multiple layer analysis of existing EU/Global scale datasets (land cover, land use, soil or climatic information, etc.) and will further examine, validate and classify MLs, through field stratified sampling, into Carbon sequestration capacity categories.
In pilot areas MAIL will augment the achieved accuracy by using enhanced spatial and radiometric resolution of full free and open access satellite datasets. Furthermore, it will propose actions that have to be taken in order to increase Carbon sequestration capacity and it will evaluate their feasibility by using a set of criteria for accurate cost estimation. Finally, it will deliver developed methodologies, algorithms and techniques on a web-application platform for on-demand production of thematic maps within Europe.
MAIL consists by a multidisciplinary Consortium of 6 experienced partners, from 4 EU Member States, and gathers the expertise required for identifying, mapping and assessing MLs as a potential Carbon Sinks. The seconded staff will exchange individual skills, competencies, thoughts, innovations, or ideas and through collaboration will acquire new skills concerning MLs management and will become more flexible, productive and efficient.",800400.0,800400.0,H2020-MSCA-RISE-2018,MSCA-RISE,ARISTOTELIO PANEPISTIMIO THESSALONIKIS,EL,INDUSTRIEANLAGEN BETRIEBSGESELLSCHAFT MBH;FUNDACION CENTRO DE SERVICIOS Y PROMOCION FORESTAL Y DE SU INDUSTRIA DE CASTILLA Y LEON;GOUNARIS N. - KONTOS K. OE;CENTRUM BADAN KOSMICZNYCH POLSKIEJ AKADEMII NAUK;UNIVERSITAT POLITECNICA DE VALENCIA,DE;ES;EL;PL,
6945,218982,836211,BioFlex,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Second life of wood: technology to dissolve waste wood to get raw materials,2018-11-01,2019-04-30,http://www.chrysalixtechnologies.com,"We have developed the BioFlex solvent process that uses unwanted waste wood as a very cheap raw-material to produce clean and high-quality inputs for the production of renewable chemicals, fuels and materials. An inexpensive process separates the main components of wood: cellulose and lignin. These can then be turned into final products such as bio-plastics, common chemicals and novel materials.
There are a variety of new value chains that are potentially created through our technology. For example, using the waste wood from a local council, cellulose can be isolated, which is hydrolysed, fermented to succinic acid and then used in paint. The lignin isolated alongside the cellulose can be turned into a drop-in biodiesel sold at the local petrol station. Similarly, sawdust from a timber mill can be fractionated, the cellulose used to produce methylcellulose as a thickener in food, the lignin turned into a bio-derived plastic.
We are diverting wood waste from going to landfill or incineration and sawdust going into pellets. The European pellets market is saturated, also with pellets imported from the Americas. The lignin and cellulose produced from these currently underused wood resources can enter new, emerging, or existing value chains.
Our competition on the waste wood disposal side is incineration, offering energy recovery in some cases but resulting in the formation of toxic ash and contributing to air pollution. For some heavily treated waste wood there are no competitors except for costly and highly undesirable landfilling which are largely viewed as problematic by both waste producers and waste managers.
The market is estimated to be EUR 40.9 billion for BioFlex products and EUR 13.4 billion of waste wood recycling. We have established a clear timeline for commercialization and signed a number of agreements with partners to make this plan feasible. We have an interdisciplinary and dedicated team to make Bioflex and its products available on the market.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,CHRYSALIX TECHNOLOGIES LIMITED,UK,,,
6999,218688,824250,EVC1000,SIGNED,H2020-EU.3.4.,LC-GV-01-2018,H2020,Electric Vehicle Components for 1000 km daily trips (EVC1000).,2019-01-01,2021-12-31,,"The project brings together ten participants from industrial and academic backgrounds to provide innovative and mass-production optimised components enabling the efficient integration of powertrain and chassis systems, which will increase EV range and user acceptance. Given the recent progress related to in-wheel motors technology, and the benefits of in-wheel architectures in terms of active safety, packaging and drivability, EVC1000 will focus on in-wheel drivetrain layouts, as well as a wheel-centric integrated propulsion system and EV manager. More specifically, the consortium will develop: - New components for in-wheel powertrains: i) Efficient, scalable, reliable, low-cost and production-ready in-wheel motors, suitable for a wide range of torque and power specifications; and ii) Dual inverters for in-wheel motor axles based on Silicon Carbide technology. The designs will include detailed consideration and measurement of the electro-magnetic compatibility aspects, as well as the implementation of model-predictive health monitoring techniques of the electronic components.  - New components for electrified chassis control with in-wheel motors: i) Brake-by-wire system for seamless brake blending, high regeneration capability and enhanced anti-lock braking system control performance; and ii) Electro-magnetic active suspension actuators, targeting increased comfort and electric vehicle efficiency. - Controllers for the novel EVC1000 components, exploiting the benefits of functional integration, vehicle connectivity and driving automation for advanced energy management The new EVC1000 components will be showcased in two production-ready electric vehicle demonstrators of different market segments. EVC1000 will assess the increased energy efficiency and will include demonstration of long distance daily trips. The vehicle demonstration phase will consider objective and subjective performance indicators for human factor analysis, to deliver enhanced customer experience.",6772943.75,5149428.51,H2020-LC-GV-2018,IA,AVL LIST GMBH,AT,IDEAS & MOTION SRL;FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;ELAPHE POGONSKE TEHNOLOGIJE DOO;JAC ITALY DESIGN CENTER SRL;AUDI AKTIENGESELLSCHAFT;TECHNISCHE UNIVERSITAET ILMENAU;FRENI BREMBO Spa;TENNECO AUTOMOTIVE EUROPE BVBA;UNIVERSITY OF SURREY,IT;DE;SI;BE;UK,
