,title,objective,coordinator
1208,"Development of a new disruptive semiconductor technology to produce more efficient, smaller, lighter, and more robust power switches.","Anvil Semiconductors has developed a unique technology to enable the production of Silicon Carbide (SiC) power switches at a similar cost to conventional Silicon by growing thin layers of SiC by heteroepitaxy on Silicon wafers rather than using expensive bulk SiC substrates. This innovation enables wafer costs to be reduced by a factor of 20 and opens up the possibility of fabricating SiC devices at similar costs to those of Silicon. Power devices such as MOSFETS and Schottky Barrier Diodes (SBDs)  utilising Anvilâ€™s SiC technology instead of silicon enable systems to be more efficient, smaller, lighter, cheaper and more robust. Electronic systems for electric vehicles, industrial machines, photovoltaics, LED lighting, wind turbines, power factor correction, uninterruptible power supplies, and the Smart Grid, will all be more efficient, smaller, more robust and cheaper. Examples of customer benefits from the use of such devices include: 10% savings on fuel consumption in a hybrid car; critical efficiency savings (4%) and size reduction (25%) in solar inverters; 10% increase in efficiency power usage in data centres.",ANVIL SEMICONDUCTORS LTD
1458,Sustainable production of next generation biofuels from waste streams,"WASTE2FUELS aims to develop next generation biofuel technologies capable of converting agrofood waste (AFW) streams into high quality biobutanol.

Butanol is one of the most promising biofuels due to its superior fuel properties compared to current main biofuels, bioethanol and biodiesel. In addition to its ability to reduce carbon emissions, its higher energy content (almost 30% more than ethanol), its ability to blend with both gasoline and diesel, its lower risk of separation and corrosion, its resistance to water absorption, allowing it to be transported in pipes and carriers used by gasoline, it offers a very exciting advantage for adoption as engines require almost no modifications to use it.  

The main WASTE2FUELS innovations include:

â€¢    Development of novel pretreatment methods for converting AFW to an appropriate feedstock for biobutanol production thus dramatically enlarging current available biomass for biofuels production
â€¢    Genetically modified microorganisms for enhancing conversion efficiencies of the biobutanol fermentation process
â€¢    Coupled recovery and biofilm reactor systems for enhancing conversion efficiencies of Acetone-Butanol-Ethanol fermentation
â€¢    Development of new routes for biobutanol production via ethanol catalytic conversion
â€¢    Biobutanol engine tests and ecotoxicological assessment of the produced biobutanol
â€¢    Valorisation of the process by-products 
â€¢    Development of an integrated model to optimise the waste-to-biofuel conversion and facilitate the industrial scale-up
â€¢    Process fingerprint analysis by environmental and techno-economic assessment
â€¢    Biomass supply chain study and design of a waste management strategy for rural development

By valorising 50% of the unavoidable and undervalorised AFW as feedstock for biobutanol production, WASTE2FUELS could divert up to 45 M tonnes of food waste from EU landfills, preventing 18 M tonnes of GHG and saving almost 0.5 billion litres of fossil fuels.","IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA"
1606,ENERGY REAL-TIME METERING AND DISTRIBUTED DISPACTH FOR LOAD - PRODUCTION SYNCHRONIZATION,"Concept
The Electric Systems in most European countries suffered major changes in the last decade due to the fast penetration of new technologies such as Distributed Production, Demand Management and Data Processing. The rhythm of change has been so high that created negative feedback effects that can compromise the capture of the created value. 

The objective of the eBrain innovation is to introduce in the market a new platform to empower consumers and distributed producers by a series of innovative services and energy contracts. These new services tackle the mentioned Electric System problems and create value both to consumers and producers but also system operators.

Products
In order to reach our goals a series of innovative technologies were developed by eVISO since 2012 and integrated in a single platform called eBrain that supports the offer of the following services:
- Real-time Production Forecast 
- Real-time Market Bidding
- Power Alerts and Energy Efficiency Reporting
- Auto-Consumption Management
- Demand-side Management & Response
All these services are included in Energy Contracts bundled into eVISOâ€™s energy retailer offer.

Clients
1. Distributed Renewables
2. Consumer Looking for Empowerment (SMEs)

Feasibility
Since the bases of the technology have already been developed and preliminary client-tests have been made, the project is at the stage of pre-launch to the market. In the feasibility stage we will focus on:
1. Commercial plan
2. Technologic feasibility 
3. IP protection
4. Risk Assessment
The combined output of the above studies is  aBusiness Plan, which is the derivable of the stage. The timeframe for the feasibility stage is 6 months.

European Dimension
The case study in Italy is similar in most European Markets where distributed production and empowerment of consumers is creating stress and opportunities. Moreover, the European Energy Market ensures the technology compatibility of our tools and a simplified transition.",EVISO SRL
1940,Rapid tree-planting through the use of remote sensing and unmanned vehicle planting technologies for large scale reforestation,"Currently used methods for reforestation and tree-planting such as hand planting and direct seeding  are time-consuming and expensive. As a result tree-planting has been unable to keep up with number of trees lost each year. Right now we are facing a net global loss of 6.6 billion trees each year. 
The EU is currently seeking out solutions to facilitate the sustainable supply of materials for the future and BioCarbon Engineering have developed a planting system to enable industrial scale reforestation protecting and regenerating forest resources. The planting system developed by BioCarbon Engineering consists of a mapping unmanned aerial vehicle (UAV), a planting UAV and machine learning software. It is a massive improvement on current reforesting techniques being a fully automated process and it will simultaneously enable cheaper and faster tree planting (10 seeds planted per UAV per minute). Given that the planting is being carried out by an aerial vehicle, it is possible to plant in terrain that is inaccessible by land-based approaches. It therefore offers a higher return on investment since it can carry out the same activity at a lower cost while also having a greater reach for tree planting.
The Phase 1 project will be focused on establishing a complete supply chain, a sound business model and commercialization strategy, a planning of all activities for deploying a large scale pilot with the automated planting solution being demonstrated out in different ecosystems throughout Europe, as well as the elaboration of an industrialization and marketing plan.",BIOCARBON ENGINEERING LTD
1970,"Pyrolysis of Derived Residues of waste, providing Improved gas for Vehicle Engines","Europe needs to import a half of the gas consumed, with the associated economic and geopolitical costs that it means. In the last years non-conventional gas sources have been developed. It is necessary to bet for new sources which are sustainable, as those based in biomass. The announcement made by the G7 Group at the Summit of June 2015 of phasing out fossil fuels by the end of the century is aligned with the European frameworks for 2020, 2030 and 2050. 
Also, waste management is an important issue, since around 485 kgs of waste are generated yearly per person in the EU, and Landfill and Waste Framework Directives have defined the reduction of landfilled waste. 
OSPRE Ltd is an SME from UK, composed of staff highly qualified in finance, chemistry and engineering. OSPRE is building a pilot plant in the UK based in a new EnergyFromWaste technology to transform municipal and commercial&industrial waste into a gas rich in methane (50-60%), which will be partly used for electricity generation. With this project OSPRE will complement the capabilities by developing Upgrade and Compression stages in order to generate Compressed Biomethane for vehicles engines. The technology, based in pyrolysis, processes 2.5 tonnes of waste per hour into 430 Nm3 of methane at a single 24 m2 module, (up to 4 times faster than Gasification and Anaerobic Digestion, which need thousands of m2). The Compressed Biomethane will be used as a fuel for the transport sector. Using waste as feedstock and generating gas at such a high rate make viable to propose Circular Economy business models, processing municipal waste of a given town and powering its public services vehicles with gas. 
OSPRE will commercialize this innovation. P-DRIVE will add a high value by allowing plants to be used for gas generation or mixed use, in addition to electricity. The payback period for a Â£2.4M investment is two years and after five years 12 plants will be running providing more than Â£86M of gross benefit.",OSPRE LIMITED
2569,Sewage sludge reuse  Phosphate recovery with an innovative HTC technology (HTCycle),"Efficient municipal wastewater treatment produces vast amounts of sewage sludge. The latest data show a yearly production of 9.637 thousands of tons in Europe. Sludge treatment issues are often neglected in comparison with water-related parameters which results in serious technical difficulties and highly expensive disposal methods. An energy efficient, environmentally sound and economically viable process for sludge disposal and reuse of valuable resources e.g. phosphorus hardly exists.
The most common disposal methods for sludge are spreading on agricultural soil, composting and incineration. Landfilling has been long banned, the use as fertilizer, although very moderate in costs, is being banned in many regions due to concerns about contamination of soils with heavy metals and endocrine disruptive compounds. Incineration entails the highest costs (80-110 â‚¬ /ton), but is also considered the safest disposal method and is fast growing and widely adopted. It presents also technical difficulties, such as the low overall efficiency of the process, the huge logistic efforts required to transport the sludge to the incineration plants, or the disposal of the ashes after the sludge has been incinerated.
In this situation, the proposing company, AVA-CO2 has the objective to demonstrate and commercialize their proprietary technology for hydrothermal carbonization (HTC) to the conditions of sewage sludge, showing clearly technical and economic advantages against the current sludge incineration method. AVA-CO2 aims to increase the amount of sludge converted into high value products such as fuel, activated carbons for water treatment, recovered phosphorus, soil remediation material, carbon sequestration schemes and other applications. The HTCycle process turns the present sewage sludge disposal (incineration) from a costly process into an income-generating activity",HTCycle GMBH
2764,"Eco-friendly, safe and highly-absorbent wood pellets for animal bedding and litter, produced by an optimized cost-efficient energy process","The ECO-Pet innovation relies on the valorization of current disused wood wastes from conifers and hardwoods by their transformation into improved pelletized products for animal bedding/litter. The novelty of ECO-Pet is based on our patented methodology carried out under an efficient energy production process (<30% of external energy is required). By technical adaptations of the pellet mill to meet the optimal matching between roller pressure, material supply and compression, ECO-Pet wood pellets show improved efficacy qualities (absorbance and durability), but keeping an affordable price for animal owners. ECO-Pet will be a cost-effective (38% cheaper than current similar products), durable (increased mechanical resistance) and highly-absorbent solution (up to 100% more than current options) meeting the needs and demands of the increasing European pet-owning populations. ECO-Pet is expected to become a core source of growth for the company and the successful market launch of ECO-Pet will enable our company to consolidate its position in the wood pellet sector. Therefore, the company will carry out a complete feasibility study, covering the technical aspects required to ensure the ECO-Pet viability and combined with a robust business plan addressing the financial investment requirements and forecasts, and designing a competitive commercial strategy. ECO-Pet is made of 100% biodegradable organic material, being safe and with no impact on the environment. Thus, ECO-Pet addresses important EU global challenges regarding resource efficiency and raw materials, environmental issues and climate action. In addition, ECO-Pet is in line with the Circular Economy Strategy adopted by the European Commission. ECO-Pet will allow the valorization of disused wood wastes, adding value to forest resources, contributing to the sustainable forest management and delivering multiple environmental benefits.",ENERGIA NATURAL DEL NORTE SL
2907,Transparent Solar Panel Technology for Energy Autonomous Greenhouses and Glass Buildings,"According to United Nations estimations, the world population will reach to 9,7 billion by 2050.  Food, energy and water are the three critical resources that must be managed if mankind is going to thrive. With these figures, we will need a 70-100% increase of food supply to maintain the current nutrition levels. Greenhouse farming is a solution to the food worldwide demands as it can increase the food production per acre up to 100% compared to open field agriculture. Although the energy consumption by agriculture made up only 2.8 % of final energy consumption in the EU-281, the global leader in greenhouse production of horticultural products, The Netherlands, has the highest energy consumption in Europe (7.2 %), clearly showing the impact of Greenhouse farming on energy sources. 
On top of that, the world to which we are currently heading also deserves energetic sustainable solutions to satisfy the growing rate of electrification in the extended populated areas. The global primary energy demand could increase by 50% by the middle of the century. Nowadays, buildings account for nearly 40% of the total energy consumption globally but it is estimated that potential energy savings in buildings could reach between 20% and 40% with new solutions. Solar panels enable energy savings; typically installed on the roof, they do not offer versatility for other type of application, such as windows to allow the entrance of the light inside buildings or greenhouses.
Our solution, PanePowerSW is the unique transparent (up to 70%) solar panel glass that generates clean energy through PV technology and more importantly allows the light to shine through greenhouses and commercial buildings windows. Completely aligned with the EU 2020 Energy Strategy, PanePowerSW not only contributes to the energy savings in buildings up to 30%, but also in greenhouses, enabling the growing of the crop while reducing energy costs, quantified in 25% of the total operational costs.",BRITE HELLAS SA
2955,"Green Energy Tracker. The international tracking system for guarantees of origin,  green energy certificates and green labels","The overall objective of the project is to provide to the green energy certificate market with a new traceability and secure system that will allow producers, traders, consumers, administrations and/or NGOs to verify and approve the real green energy origin. 

This project innovative approach is based on the application for the first time of the blockchain technology to the green certificate generation process, to create a distributed system where each transaction is encrypted and stored locally in many individual computers. Any transaction needs to be approved by a great number of members before it is exported and verify by the whole system, eliminating the need for third-party intermediaries, and therefore, the fraud cases.

Green certificates are created each time one megawatt-hour of renewable energy is generated and put on the grid. Unfortunately, no matter where the electricity is generated, once the electricity enters the grid it is impossible to distinguish where it came from or how was generated. Currently this system is facing the following challenges: Lack of credibility and traceability, and fraud issues. 

With our Green Energy Tracker (GET) we are contributing to maintain a trustable renewable energy market by providing a system that Increases the credibility by substituting trust for security and traceability, eliminate fraud, increases the market efficiency and opens the possibility for new certification markets.

Our feasibility assessment under Phase I work expect to validate that the business idea is achievable by the analysis of the technical and economic related aspects with the proposal and, at the same time, identifying those key issues to face in Phase II, jointly to the clinic validation and regulatory process necessary of being developed.",MEGAVATIO CONTROL SL
3132,High quality cellulose recovery from AHP: From used diaper to coatings additive,"Every year 7.5Mton of Absorbent Hygiene Product (AHP) waste is produced in Europe. This is disposed either by landfilling or incineration. AHP waste consists of disposable child nappies, adult incontinence products, feminine hygiene and similar products. Thereof, 30% corresponding to 2.25 Mton/year can be collected as mono-stream AHP waste. However, current state of the art does not offer an economically viable solution for the recovery of raw materials from this stream. The underlying reason is that existing technology strongly depends on waste disposal gate fees and produces cellulose with a purity of typically 70-75%, which is only suitable for low grade application, e.g.as cardboard.

The main objective of the innovation project is to provide a technical solution for the recycling of high grade cellulose from AHP waste. The patented process is based on dissolving lignin with mild acids, thus upgrading the overall cellulose purity. Based on this solution a total of 360 kton of cellulose per year with a high degree of purity (> 92%) can be produced from the AHP waste. This high quality cellulose that can be used as paint additive or as chemical building block, could result in an economically viable operation without depending on gate fees. The proposed valorisation of Psiconâ€™s process represents a potential total value increase for the European economy of up to 360 Mâ‚¬/year and 2,000 new jobs. The European environment strongly benefits as CO2 emission is reduced up to 700 kton/year and reducing resources consumption by reusing them.

The long term ambition of Psicon is to create enough production sites, at strategic locations close to the feedstock, in order to be able to convert 70-80% of the mono-stream AHP waste. This is a significant step towards near-zero AHP waste in Europe. In this feasibility assessment the final hurdles will be taken towards an EU wide market introduction supported by demonstrating the process of Psicon in an operational environment.",PSICON B.V.
3291,European Research Area on Sustainable Animal Production Systems,"This proposal seeks funding under the Horizon 2020 Work Programme 2014-2015 to establish an ERA-NET for joint European research coordination on Sustainable Animal Production (SusAn). The scope for this ERA-NET has been developed under the SCAR Collaborative Working Group on Sustainable Animal Production (CWG-SAP). 
Funding organisations from 22 European countries initially seek to support one co-funded call followed by other joint activities including the development of a Common Strategic Research and Innovation Agenda on Sustainable Animal Production. 
The animal production sector forms an important part of Europeâ€™s (agricultural) economy and plays an essential role in the provision of Europe`s citizens with high quality animal products. Like other agriculture sectors, animal production faces many challenges from projected increases in global demand for food, climate change, competition for natural resources and economic volatility. The European animal production landscape is very complex, consisting of different species farmed within a wide range of different extensive, semi-intensive and intensive production systems using multiple resources to produce a diverse range of animal products and other services. Partners in this ERA-NET believe, however, that these challenges and complexities can be effectively addressed through joint European research within a framework which supports the three pillars of sustainability - economy, environment and society - and targets opportunities for innovative research spanning all areas of animal production such as health and welfare, feeding and nutrition, reproduction, breeding and genetics, housing, nutrient management and economics. Partners in ERA-NET SusAn endorse scientific excellence and recommend an integrated, interdisciplinary, cross-cutting and multi-actor approach to research and knowledge exchange which reflects the complexity of the research requirements for sustainable European animal production.",Bundesanstalt fÃ¼r Landwirtschaft und ErnÃ¤hrung
3506,Innovative Manufacturing Routes for Next Generation Batteries in Europe,"As of today, Europe remains not competitive in terms of Lithium battery cell development and especially manufacturing. This lack of competence and competitiveness could quickly spiral down into a complete loss of this key technology for electrification in the EU. 
Thus IMAGE will significantly contribute to sustainably develop the European Li-battery cell manufacturing competence and capability by creating a competitive, production-oriented research & development framework within Europe. A realistic and well-documented roadmap towards the manufacturing of cost-effective and competitive battery cells within Europe will emerge. This will be enforced by establishing a distributed battery cell production base that will be able, after careful upscaling of production, to supply the now burgeoning electric vehicle industry. From this context, the main goal of IMAGE is to push Europeanâ€™s Li-battery industry and academia to take over a leading role in the development and manufacturing of Next Generation Li-Ion cells. IMAGE has the following major objectives: 
1) Develop generic production techniques for next generation battery cells based on high specific energy Li-metal battery cells. This will include a modular development approach that will be easy to up-scale while remaining flexible and safer to replace in case of any contingencies and market/ manufacturer configuration changes.
2) Identify energy and resource efficient cell manufacturing technologies and assets tailored to the existent European industrial infrastructure. This will include the identification of bottleneck factors and challenges that could be addressed in the present European industrial context.
3) Develop a progressive, multiple-tier technological and production framework that is able to cope with the inherent technological changes and advancements characteristic to this dynamic field. Thus, there will be several technologies covered by IMAGE, each having different technological maturity level.",AVL LIST GMBH
